fpr,tpr,threshold
0.16242239959457747,0.8022642551428966,0.9999999999998614
0.16289750411757253,0.8028717382300152,0.9999999999998597
0.1632775877359686,0.8039210271986745,0.9999999999998579
0.16349930318003295,0.8061576694739748,0.9999999999998561
0.1638160395286963,0.8076487643241751,0.9999999999998543
0.16410110224249336,0.8078420543973491,0.9999999999998526
0.1641327758773597,0.8078420543973491,0.9999999999998517
0.16451285949575573,0.8082010216761011,0.9999999999998508
0.1651780058279488,0.8085876018224493,0.999999999999849
0.16631825668313696,0.8091398591743753,0.9999999999998472
0.16666666666666666,0.8099958580698605,0.9999999999998455
0.1672051184593944,0.8107414054949607,0.9999999999998437
0.16745850753832509,0.8122601132127572,0.9999999999998419
0.16787026479158748,0.8125638547563164,0.9999999999998401
0.16825034840998354,0.8127295319618942,0.9999999999998384
